week,collection_date,views_count,views_uniques,clones_count,clones_uniques,collected_at
2025-W29,7/15/2025,0,0,24,22,2025-07-15T02:00:00Z
2025-W30,7/22/2025,0,0,10,10,2025-07-22T02:00:00Z
2025-W31,7/29/2025,0,0,8,7,2025-07-29T02:00:00Z
2025-W32,8/5/2025,0,0,5,5,2025-08-05T02:00:00Z
2025-W33,8/12/2025,0,0,3,3,2025-08-12T02:00:00Z
2025-W34,8/19/2025,0,0,2,2,2025-08-19T02:00:00Z
2025-W35,8/25/2025,92,1,59,35,2025-09-02T16:06:24Z
2025-W42,2025-10-20,52,3,60,31,2025-11-01T13:52:23.907634+00:00
2025-W43,2025-10-27,64,3,69,37,2025-11-03T03:10:47.873846+00:00
2025-W44,2025-11-03,4,1,24,21,2025-11-10T17:40:41.324982+00:00
2025-W45,2025-11-10,125,2,64,29,2025-11-17T03:09:15.172661+00:00
2025-W46,2025-11-17,2,1,10,8,2025-11-24T03:16:42.404917+00:00
2025-W47,2025-11-24,14,2,18,15,2025-12-01T03:42:50.461613+00:00
2025-W48,2025-12-01,0,0,49,28,2025-12-08T03:14:49.132988+00:00
2025-W49,2025-12-08,0,0,15,12,2025-12-15T03:22:33.246512+00:00
2025-W50,2025-12-15,0,0,21,17,2025-12-22T03:24:37.309214+00:00
2026-W02,2026-01-12,27,3,60,39,2026-01-20T23:41:01.600816+00:00
2026-W03,2026-01-19,16,2,39,27,2026-01-26T03:48:18.969889+00:00
2026-W04,2026-01-26,0,0,35,23,2026-02-02T04:12:58.986820+00:00
2026-W05,2026-02-02,4,2,27,13,2026-02-09T04:15:46.795730+00:00
2026-W06,2026-02-09,0,0,41,23,2026-02-16T04:13:28.889425+00:00
2026-W07,2026-02-16,0,0,31,18,2026-02-23T04:12:46.305873+00:00
2026-W08,2026-02-23,7,1,31,18,2026-03-02T04:03:43.910498+00:00
2026-W09,2026-03-02,0,0,31,18,2026-03-09T04:06:48.796190+00:00
2026-W10,2026-03-09,0,0,46,22,2026-03-16T04:30:38.265175+00:00
2026-W11,2026-03-16,0,0,28,15,2026-03-23T04:17:44.870650+00:00
2026-W12,2026-03-23,0,0,44,23,2026-03-30T04:36:02.624989+00:00
2026-W13,2026-03-30,8,2,117,62,2026-04-06T04:35:36.541091+00:00
2026-W14,2026-04-06,33,6,84,50,2026-04-13T04:49:52.647880+00:00
2026-W15,2026-04-13,4,1,263,113,2026-04-22T15:53:38.666803+00:00
2026-W16,2026-04-20,37,1,225,110,2026-04-27T04:59:13.207479+00:00
2026-W17,2026-04-27,7,4,246,92,2026-05-04T05:24:25.550697+00:00
2026-W18,2026-05-04,6,2,167,68,2026-05-11T05:50:10.131342+00:00
2026-W19,2026-05-11,0,0,67,40,2026-05-18T06:02:50.494604+00:00
2026-W20,2026-05-18,0,0,46,27,2026-05-25T06:16:15.080197+00:00
2026-W21,2026-05-25,0,0,25,15,2026-06-01T06:44:35.701410+00:00
2026-W22,2026-06-01,2,2,42,24,2026-06-08T06:27:12.107765+00:00
2026-W23,2026-06-08,3,2,133,64,2026-06-15T07:06:45.763499+00:00
2026-W24,2026-06-15,9,2,177,80,2026-06-22T07:10:07.935563+00:00
2026-W25,2026-06-22,7,3,104,43,2026-06-29T06:27:16.909691+00:00
2026-W26,2026-06-29,17,2,102,53,2026-07-06T06:17:41.688917+00:00
2026-W27,2026-07-06,8,2,233,56,2026-07-13T05:24:51.103830+00:00
2026-W28,2026-07-13,0,0,138,41,2026-07-20T05:29:22.803619+00:00
2026-W29,2026-07-20,8,5,26,9,2026-07-27T05:39:03.684048+00:00
2026-W30,2026-07-27,4,1,45,12,2026-08-03T05:30:25.814576+00:00
2026-W31,2026-08-03,0,0,24,10,2026-08-10T03:42:18.280170+00:00
2026-W32,2026-08-10,1,1,91,70,2026-08-17T02:51:01.568766+00:00
2026-W33,2026-08-17,2,1,37,12,2026-08-24T02:54:00.584084+00:00
2026-W34,2026-08-24,6,1,69,20,2026-08-31T07:51:54.042818+00:00
2026-W35,2026-08-31,0,0,45,17,2026-09-07T06:45:32.112851+00:00
